"SYBR_Green_pGEM"	"Sample"	"SampleNumber"	"SampleID"
5.5e+10	"Sample 65"	65	"MID01"
3.47e+10	"Sample 66"	66	"MID02"
1.82e+10	"Sample 67"	67	"MID03"
1.45e+10	"Sample 68"	68	"MID05"
6.4e+09	"Sample 69"	69	"MID07"
1.59e+10	"Sample 70"	70	"MID08"
6.05e+10	"Sample 71"	71	"MID09"
2.82e+10	"Sample 72"	72	"MID10"
1.8e+10	"Sample 73"	73	"MID11"
1.61e+10	"Sample 74"	74	"MID12"
1.05e+10	"Sample 75"	75	"MID13"
1.52e+10	"Sample 76"	76	"MID14"
1.55e+10	"Sample 77"	77	"MID15"
2.83e+10	"Sample 78"	78	"MID16"
2.12e+10	"Sample 79"	79	"MID17"
1.92e+10	"Sample 80"	80	"MID31"
2.29e+10	"Sample 81"	81	"MID19"
1.36e+10	"Sample 82"	82	"MID20"
3.48e+10	"Sample 83"	83	"MID18"
3.57e+10	"Sample 84"	84	"MID21"
2.32e+10	"Sample 85"	85	"MID22"
2.66e+10	"Sample 86"	86	"MID23"
4.32e+10	"Sample 89"	89	"MID27"
3.13e+10	"Sample 90"	90	"MID28"
3.47e+10	"Sample 91"	91	"MID29"
2.24e+10	"Sample 92"	92	"MID30"
7.6e+09	"Sample 93"	93	"MID26"
9.35e+09	"Sample 94"	94	"MID32"
5.8e+10	"Sample 95"	95	"MID33"
2.88e+10	"Sample 96"	96	"MID34"
2.17e+10	"Sample 97"	97	"MID35"
1.59e+10	"Sample 98"	98	"MID36"
1.19e+10	"Sample 99"	99	"MID37"
1.21e+10	"Sample 100"	100	"MID38"
3.76e+10	"Sample 101"	101	"MID39"
9.5e+09	"Sample 102"	102	"MID40"
