,0
550.L4S88.s.4.sequence,67262.0
550.L4S8.s.4.sequence,56211.0
550.L4S72.s.4.sequence,56116.0
550.L6S172.s.6.sequence,48853.0
550.L4S80.s.4.sequence,48555.0
550.L4S1.s.4.sequence,47302.0
550.L4S16.s.4.sequence,46734.0
550.L4S32.s.4.sequence,46102.0
550.L4S33.s.4.sequence,45651.0
550.L4S46.s.4.sequence,45605.0
550.L6S112.s.6.sequence,45373.0
550.L4S34.s.4.sequence,44543.0
550.L4S26.s.4.sequence,43850.0
550.L4S24.s.4.sequence,43749.0
550.L4S74.s.4.sequence,43686.0
550.L4S3.s.4.sequence,42884.0
550.L4S19.s.4.sequence,42811.0
550.L4S35.s.4.sequence,42770.0
550.L4S134.s.4.sequence,42730.0
550.L4S25.s.4.sequence,42479.0
550.L4S9.s.4.sequence,42307.0
550.L4S56.s.4.sequence,42106.0
550.L4S79.s.4.sequence,42070.0
550.L6S242.s.6.sequence,42049.0
550.L4S41.s.4.sequence,41954.0
550.L4S115.s.4.sequence,41903.0
550.L4S94.s.4.sequence,41790.0
550.L6S117.s.6.sequence,41764.0
550.L4S22.s.4.sequence,41612.0
550.L1S321.s.1.sequence,41551.0
550.L4S31.s.4.sequence,41378.0
550.L6S126.s.6.sequence,41336.0
550.L4S105.s.4.sequence,41214.0
550.L4S18.s.4.sequence,40396.0
550.L4S95.s.4.sequence,40113.0
550.L4S14.s.4.sequence,40010.0
550.L4S98.s.4.sequence,39862.0
550.L4S97.s.4.sequence,39797.0
550.L1S328.s.1.sequence,39781.0
550.L4S93.s.4.sequence,39775.0
550.L4S17.s.4.sequence,39767.0
550.L4S20.s.4.sequence,39716.0
550.L6S177.s.6.sequence,39648.0
550.L4S81.s.4.sequence,39598.0
550.L4S65.s.4.sequence,39460.0
550.L4S27.s.4.sequence,39460.0
550.L4S57.s.4.sequence,39409.0
550.L6S113.s.6.sequence,39367.0
550.L4S2.s.4.sequence,39177.0
550.L4S90.s.4.sequence,38889.0
550.L4S12.s.4.sequence,38830.0
550.L4S60.s.4.sequence,38582.0
550.L4S113.s.4.sequence,38565.0
550.L4S64.s.4.sequence,38557.0
550.L4S48.s.4.sequence,38371.0
550.L1S355.s.1.sequence,38137.0
550.L4S68.s.4.sequence,37717.0
550.L4S83.s.4.sequence,37539.0
550.L1S217.s.1.sequence,37537.0
550.L6S78.s.6.sequence,37460.0
550.L1S305.s.1.sequence,37446.0
550.L4S40.s.4.sequence,37369.0
550.L4S222.s.4.sequence,37331.0
550.L4S111.s.4.sequence,37327.0
550.L6S110.s.6.sequence,37266.0
550.L6S122.s.6.sequence,37237.0
550.L4S30.s.4.sequence,37143.0
550.L6S111.s.6.sequence,36940.0
550.L6S31.s.6.sequence,36917.0
550.L4S92.s.4.sequence,36907.0
550.L6S103.s.6.sequence,36878.0
550.L4S44.s.4.sequence,36761.0
550.L6S127.s.6.sequence,36761.0
550.L4S11.s.4.sequence,36722.0
550.L4S10.s.4.sequence,36670.0
550.L4S15.s.4.sequence,36549.0
550.L4S61.s.4.sequence,36541.0
550.L4S91.s.4.sequence,36389.0
550.L4S69.s.4.sequence,36253.0
550.L1S145.s.1.sequence,36195.0
550.L1S290.s.1.sequence,36101.0
550.L1S41.s.1.sequence,35990.0
550.L6S191.s.6.sequence,35955.0
550.L4S4.s.4.sequence,35893.0
550.L4S36.s.4.sequence,35852.0
550.L6S22.s.6.sequence,35749.0
550.L4S138.s.4.sequence,35745.0
550.L4S129.s.4.sequence,35727.0
550.L6S135.s.6.sequence,35710.0
550.L6S98.s.6.sequence,35655.0
550.L4S47.s.4.sequence,35638.0
550.L2S267.s.2.sequence,35588.0
550.L1S120.s.1.sequence,35398.0
550.L4S73.s.4.sequence,35378.0
550.L6S170.s.6.sequence,35376.0
550.L4S42.s.4.sequence,35233.0
550.L6S101.s.6.sequence,35191.0
550.L4S89.s.4.sequence,35189.0
550.L4S147.s.4.sequence,35150.0
550.L4S137.s.4.sequence,35133.0
550.L4S148.s.4.sequence,35070.0
550.L1S289.s.1.sequence,35001.0
550.L6S138.s.6.sequence,34917.0
550.L4S184.s.4.sequence,34906.0
550.L6S104.s.6.sequence,34891.0
550.L4S82.s.4.sequence,34889.0
550.L4S86.s.4.sequence,34835.0
550.L4S284.s.4.sequence,34832.0
550.L4S126.s.4.sequence,34787.0
550.L4S160.s.4.sequence,34713.0
550.L1S335.s.1.sequence,34712.0
550.L4S78.s.4.sequence,34675.0
550.L4S59.s.4.sequence,34648.0
550.L4S28.s.4.sequence,34572.0
550.L4S67.s.4.sequence,34567.0
550.L6S144.s.6.sequence,34514.0
550.L1S280.s.1.sequence,34382.0
550.L6S136.s.6.sequence,34360.0
550.L2S16.s.2.sequence,34356.0
550.L6S99.s.6.sequence,34332.0
550.L1S218.s.1.sequence,34331.0
550.L4S145.s.4.sequence,34316.0
550.L6S292.s.6.sequence,34295.0
550.L4S5.s.4.sequence,34271.0
550.L1S303.s.1.sequence,34246.0
550.L4S107.s.4.sequence,34217.0
550.L6S102.s.6.sequence,34194.0
550.L1S298.s.1.sequence,34186.0
550.L6S180.s.6.sequence,34184.0
550.L4S53.s.4.sequence,34160.0
550.L4S106.s.4.sequence,34115.0
550.L2S41.s.2.sequence,34099.0
550.L6S6.s.6.sequence,34095.0
550.L4S13.s.4.sequence,34093.0
550.L6S175.s.6.sequence,34056.0
550.L2S24.s.2.sequence,34018.0
550.L4S76.s.4.sequence,34004.0
550.L1S367.s.1.sequence,34004.0
550.L4S206.s.4.sequence,34002.0
550.L4S52.s.4.sequence,33950.0
550.L4S38.s.4.sequence,33923.0
550.L4S103.s.4.sequence,33912.0
550.L4S233.s.4.sequence,33899.0
550.L1S193.s.1.sequence,33790.0
550.L6S118.s.6.sequence,33778.0
550.L6S17.s.6.sequence,33686.0
550.L1S312.s.1.sequence,33676.0
550.L4S209.s.4.sequence,33535.0
550.L1S297.s.1.sequence,33490.0
550.L4S39.s.4.sequence,33472.0
550.L1S296.s.1.sequence,33470.0
550.L4S144.s.4.sequence,33393.0
550.L4S66.s.4.sequence,33381.0
550.L1S294.s.1.sequence,33370.0
550.L1S318.s.1.sequence,33370.0
550.L6S1.s.6.sequence,33346.0
550.L1S330.s.1.sequence,33325.0
550.L6S160.s.6.sequence,33275.0
550.L1S338.s.1.sequence,33274.0
550.L1S225.s.1.sequence,33231.0
550.L6S107.s.6.sequence,33182.0
550.L1S306.s.1.sequence,33171.0
550.L1S307.s.1.sequence,33154.0
550.L1S200.s.1.sequence,33094.0
550.L4S6.s.4.sequence,33044.0
550.L4S114.s.4.sequence,33025.0
550.L4S121.s.4.sequence,32991.0
550.L1S376.s.1.sequence,32989.0
550.L4S77.s.4.sequence,32965.0
550.L1S231.s.1.sequence,32963.0
550.L2S8.s.2.sequence,32929.0
550.L1S201.s.1.sequence,32918.0
550.L1S304.s.1.sequence,32897.0
550.L6S190.s.6.sequence,32891.0
550.L4S51.s.4.sequence,32883.0
550.L1S86.s.1.sequence,32876.0
550.L4S55.s.4.sequence,32865.0
550.L6S157.s.6.sequence,32861.0
550.L4S63.s.4.sequence,32856.0
550.L1S352.s.1.sequence,32853.0
550.L4S186.s.4.sequence,32789.0
550.L1S273.s.1.sequence,32784.0
550.L1S313.s.1.sequence,32742.0
550.L1S361.s.1.sequence,32729.0
550.L1S356.s.1.sequence,32714.0
550.L4S175.s.4.sequence,32698.0
550.L1S199.s.1.sequence,32658.0
550.L1S295.s.1.sequence,32651.0
550.L4S153.s.4.sequence,32620.0
550.L1S320.s.1.sequence,32512.0
550.L6S183.s.6.sequence,32464.0
550.L6S32.s.6.sequence,32452.0
550.L4S23.s.4.sequence,32445.0
550.L4S71.s.4.sequence,32430.0
550.L4S87.s.4.sequence,32421.0
550.L6S120.s.6.sequence,32375.0
550.L4S84.s.4.sequence,32373.0
550.L4S29.s.4.sequence,32342.0
550.L6S329.s.6.sequence,32324.0
550.L4S58.s.4.sequence,32213.0
550.L1S272.s.1.sequence,32192.0
550.L4S185.s.4.sequence,32089.0
550.L1S302.s.1.sequence,32071.0
550.L4S163.s.4.sequence,32047.0
550.L1S226.s.1.sequence,32035.0
550.L4S104.s.4.sequence,32013.0
550.L6S119.s.6.sequence,32003.0
550.L6S303.s.6.sequence,31947.0
550.L4S75.s.4.sequence,31947.0
550.L6S97.s.6.sequence,31941.0
550.L6S109.s.6.sequence,31897.0
550.L6S323.s.6.sequence,31861.0
550.L1S64.s.1.sequence,31855.0
550.L1S314.s.1.sequence,31831.0
550.L4S85.s.4.sequence,31785.0
550.L6S116.s.6.sequence,31725.0
550.L1S360.s.1.sequence,31720.0
550.L4S122.s.4.sequence,31691.0
550.L4S183.s.4.sequence,31687.0
550.L4S193.s.4.sequence,31668.0
550.L6S67.s.6.sequence,31662.0
550.L1S42.s.1.sequence,31622.0
550.L4S49.s.4.sequence,31603.0
550.L4S7.s.4.sequence,31575.0
550.L4S131.s.4.sequence,31561.0
550.L1S344.s.1.sequence,31520.0
550.L1S287.s.1.sequence,31505.0
550.L6S217.s.6.sequence,31488.0
550.L6S63.s.6.sequence,31461.0
550.L4S241.s.4.sequence,31446.0
550.L1S363.s.1.sequence,31438.0
550.L4S166.s.4.sequence,31418.0
550.L4S136.s.4.sequence,31411.0
550.L4S171.s.4.sequence,31376.0
550.L2S95.s.2.sequence,31365.0
550.L6S137.s.6.sequence,31349.0
550.L4S62.s.4.sequence,31341.0
550.L6S59.s.6.sequence,31303.0
550.L6S317.s.6.sequence,31298.0
550.L1S339.s.1.sequence,31289.0
550.L2S1.s.2.sequence,31260.0
550.L2S87.s.2.sequence,31209.0
550.L1S12.s.1.sequence,31190.0
550.L4S165.s.4.sequence,31172.0
550.L1S152.s.1.sequence,31171.0
550.L1S112.s.1.sequence,31083.0
550.L4S199.s.4.sequence,31069.0
550.L4S190.s.4.sequence,31067.0
550.L2S7.s.2.sequence,31064.0
550.L6S159.s.6.sequence,31062.0
550.L4S143.s.4.sequence,31059.0
550.L1S80.s.1.sequence,30983.0
550.L6S121.s.6.sequence,30946.0
550.L4S127.s.4.sequence,30918.0
550.L4S130.s.4.sequence,30886.0
550.L6S330.s.6.sequence,30886.0
550.L6S189.s.6.sequence,30884.0
550.L1S381.s.1.sequence,30834.0
550.L1S286.s.1.sequence,30822.0
550.L6S331.s.6.sequence,30753.0
550.L4S102.s.4.sequence,30750.0
550.L1S329.s.1.sequence,30731.0
550.L1S185.s.1.sequence,30696.0
550.L6S188.s.6.sequence,30692.0
550.L6S8.s.6.sequence,30684.0
550.L1S209.s.1.sequence,30672.0
550.L2S42.s.2.sequence,30627.0
550.L4S54.s.4.sequence,30598.0
