,0
11757.G440981233,206522.0
11757.G441424426,172635.0
11757.G440104393,137769.0
11757.G440205438,132196.0
11757.G441284290,127495.0
11757.G440606030,118149.0
11757.G441424104,116783.0
11757.G440606554,116021.0
11757.G440981462,110516.0
11757.G440981513,110302.0
11757.G440606514,109413.0
11757.G441502523,109285.0
11757.G440981007,108348.0
11757.G440282517,107577.0
11757.G440104489,102531.0
11757.G441802032,102315.0
11757.G441284549,100182.0
11757.G440606638,98947.0
11757.G440606339,97532.0
11757.G440205358,96491.0
11757.G440305349,95657.0
11757.G441424448,95580.0
11757.G440104388,95118.0
11757.G440305381,94754.0
11757.G441284007,93750.0
11757.G441424194,91019.0
11757.G440606557,90458.0
11757.G441424150,88868.0
11757.G441424564,87834.0
11757.G440205557,87027.0
11757.G441424247,86894.0
11757.G441284318,86409.0
11757.G441424399,85919.0
11757.G440606284,85785.0
11757.G440606558,85315.0
11757.G440205658,84900.0
11757.G440981145,84414.0
11757.G440606545,83984.0
11757.G441303627,83565.0
11757.G440205416,82989.0
11757.G440305687,82804.0
11757.G441502551,82399.0
11757.G440205583,82156.0
11757.G440883172,82135.0
11757.G441284442,81755.0
11757.G440883501,81492.0
11757.G440282552,80851.0
11757.G445302417,80782.0
11757.G445302105,80761.0
11757.G440883551,80451.0
11757.G441502215,80265.0
11757.G440883088,79888.0
11757.G440981114,79656.0
11757.G440205279,79018.0
11757.G441802556,78476.0
11757.G441303113,78418.0
11757.G441802363,78365.0
11757.G440305368,78275.0
11757.G440205392,78261.0
11757.G445302175,78040.0
11757.G445224305,77519.0
11757.G441424035,77508.0
11757.G440305193,77356.0
11757.G440205421,77247.0
11757.G440104532,76828.0
11757.G441502396,76728.0
11757.G441303167,76471.0
11757.G440205094,76134.0
11757.G441802366,76014.0
11757.G441303512,75866.0
11757.G441802656,75631.0
11757.G440282204,75413.0
11757.G445224523,75255.0
11757.G440282083,75157.0
11757.G440883509,74862.0
11757.G441284381,74797.0
11757.G445224432,74790.0
11757.G440205582,74787.0
11757.G440883503,74770.0
11757.G440606383,74702.0
11757.G441303038,74601.0
11757.G440606613,74597.0
11757.G440606414,74226.0
11757.G440282575,74094.0
11757.G441424253,74041.0
11757.G440205545,73834.0
11757.G445302617,73438.0
11757.G441284353,73143.0
11757.G440282194,73078.0
11757.G441303505,72948.0
11757.G441303632,72881.0
11757.G440305314,72879.0
11757.G440104536,72421.0
11757.G445302184,72273.0
11757.G440305299,72131.0
11757.G441303098,72072.0
11757.G440104284,72015.0
11757.G440981026,71964.0
11757.G441303043,71912.0
11757.G441424513,71895.0
11757.G440606321,71833.0
11757.G441424396,71783.0
11757.G440606297,71662.0
11757.G440606405,71635.0
11757.G445302102,71592.0
11757.G441284637,71587.0
11757.G440305134,71510.0
11757.G441424311,71366.0
11757.G440205366,71023.0
11757.G441802288,70989.0
11757.G441424114,70984.0
11757.G441303291,70787.0
11757.G441424560,70785.0
